,bathrooms,bedrooms,latitude,listing_id,longitude,price,created,building_id,description,display_address,features,manager_id,street_address,interest_level
10,1.5,3,40.7145,7211212,-73.9425,3000,6,53a5b119ba8f7b61d4e010512e0dfc85,A Brand New 3 Bedroom 1.5 bath ApartmentEnjoy These Following Apartment Features As You Rent Here? Modern Designed Bathroom w/ a Deep Spa Soaking Tub? Room to Room AC/Heat? Real Oak Hardwood Floors? Rain Forest Shower Head? SS steel Appliances w/ Chef Gas Cook Oven & LG Fridge? washer /dryer in the apt? Cable Internet Ready? Granite Counter Top Kitchen w/ lot of cabinet storage spaceIt's Just A Few blocks To L TrainDon't miss out!We have several great apartments in the immediate area.For additional information 687-878-2229<a website_redacted ,Metropolitan Avenue,[],5ba989232d0489da1b5f2c45f6688adc,792 Metropolitan Avenue,medium
10000,1,2,40.7947,7150865,-73.9667,5465,6,c5c8a357cba207596b04d1afd1e4f130, ,Columbus Avenue,[Doorman Elevator Fitness Center Cats Allowed Dogs Allowed],7533621a882f71e25173b27e3139d83d,808 Columbus Avenue,low
100004,1,1,40.7388,6887163,-74.0018,2850,4,c3ba40552e2120b0acfc3cb5730bb2aa,Top Top West Village location beautiful Pre-war building with laundry in the basement and live in super!Apartment features a large bedroom with closet. Separate living room kitchen features granite tops dishwasher and microwave included marble bathroom and hardwood flooring. Building is very well maintained and conveniently located near ACEL123 trains. Surrounded by many local cafe?s restaurants available for November 1st move in!To view this apartment or any other please contact me via email or call at the number listed.Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,W 13 Street,[Laundry In Building Dishwasher Hardwood Floors Pets Allowed Case by Case],d9039c43983f6e564b1482b273bd7b01,241 W 13 Street,high
100007,1,1,40.7539,6888711,-73.9677,3275,4,28d9ad350afeaab8027513a3e52ac8d5,Building Amenities - Garage - Garden - fitness room - laundry room -rooftop deck .Located in midtown East - High energy area - plenty of Bars and restaurants to choose from - within walking distance to the transit EM67This Apartment also feature a renovated kitchen with microwave - Marble Bath tiles.Call or Email and Text for Exclusive Showing!!**NO FEE**<a website_redacted ,East 49th Street,[Hardwood Floors No Fee],1067e078446a7897d2da493d2f741316,333 East 49th Street,low
100013,1,4,40.8241,6934781,-73.9493,3350,4,0,Beautifully renovated 3 bedroom flex 4 bedroom apartment for rent. Available immediately. Elevator building. Exposed brick walls. Hardwood floors through the apartment. Kitchen has wood kitchen cabinets and stainless steel appliances including a dishwasher and a microwave. Unit has a washer and dryer. Bathroom has ceramic wall and floors tiles and lots of storage. Apartment is very sunny and spacious. Available immediatelyPlease contact/email/text Jessica for an appointment ,West 143rd Street,[Pre-War],98e13ad4b495b9613cef886d79a6291f,500 West 143rd Street,low
100014,2,4,40.7429,6894514,-74.0028,7995,4,38a913e46c94a7f46ddf19b756a9640c, ,West 18th Street,[],b209e2c4384a64cc307c26759ee0c651,350 West 18th Street,medium
100016,1,2,40.8012,6930771,-73.966,3600,4,3ba49a93260ca5df92fde024cb4ca61f,Stunning unit with a great location and lots of natural light. Close to the subway line or a nice walk to Columbia University.Near many restaurants to choose from place of worship and shops. Call/Email Helen and I will work on finding the right place for you :)kagglemanager@renthop.com 766-103-4663Hablo espanol!Building Amenities:* Open Kitchen with stainless steel* Great cabinet space* Good amount of closet space* Subway (1 Trains)Contact me to show you all Bohemia Realty Group has to offer 766-103-4663 kagglemanager@renthop.com espanol! - See more at: website_redacted ,West 107th Street,[prewar elevator Dogs Allowed Cats Allowed LOWRISE SIMPLEX HARDWOOD No Fee],01287194f20de51872e81f660def4784,210 West 107th Street,low
100020,2,1,40.7427,6867392,-73.9957,5645,4,0372927bcb6a0949613ef5bf893bbac7,This huge sunny plenty of lights 1 bed/2 bath offers you a brand new kitchenopen to the living space with stainless steel appliancesgranite countersplenty of cabinet spaces dishwashermicromarble bath with stand up shower and foldable closets throughout the apartment and your OWN OUTDOOR SPACE!!!The building comes with an elevatorgymlaundry24 hour doorman and beautiful roof deck/terrace with breathtaking view to the city!gut renoss appdish washerclosetsmarble bathlaundryelevatordrmngymroofdeckYour future new apartment is located in west Chelseanear amazing restaurants shopsart galleries and nightlife!Close to the famous Highline Chelsea Piers and the Chelsea MarketCall or e mail me for any further information or to schedule a viewing.As an expert of the area I have access to all available apartments.I look forward to help you finding your dream home!<a website_redacted ,West 21st Street,[Doorman Elevator Pre-War Terrace Laundry in Unit Dishwasher Hardwood Floors Outdoor Space],e6472c7237327dd3903b3d6f6a94515a,155 West 21st Street,low
100026,1,1,40.8234,6898799,-73.9457,1725,4,a7efbeb58190aa267b4a9121cd0c88c0,<a website_redacted ,Hamilton Terrace,[Cats Allowed Dogs Allowed Elevator Laundry In Building],c1a6598437b7db560cde66e5a297a53f,63 Hamilton Terrace,medium
100027,2,4,40.7278,6814332,-73.9808,5800,4,0,This is a spacious four bedroom with every bedroom able to fit queen sized beds with windows and closets and room to spare. There are ceiling fans and Exposed brick scattered throughout the apartment. It also has High ceilings great hardwood floors an excellent open kitchen with a dishwasher and room for a table Really great living room that fits a wrap around couch and windows throughout the apartment.Located in the heart of the lower East side you can't help but notice all the neighborhood bars restaurants cafes and boutique shopping.Call text or e-mail me today to set up a private viewing.-------------Listing courtesy of Miron Properties. All material herein is intended for information purposes only and has been compiled from sources deemed reliable. Though information is believed to be correct it is presented subject to errors omissions changes or withdrawal without notice. Miron Properties is a licensed Real Estate Broker. www.MironProperties.com<a website_redacted ,522 E 11th,[Dishwasher Hardwood Floors],23a01ea7717b38875f5b070282d1b9d2,522 E 11th,low
100030,1,0,40.7769,6869199,-73.9467,1950,4,0,New to the market! Spacious studio located in the 80s in a well maintained elevator building with laundry room. For viewing and more information please contact Artak. ,York Avenue,[],e32475a6134d6d18279946b7b20a0f12,1661 York Avenue,low
10004,1,1,40.8448,7102986,-73.9396,1675,6,0,Check out this one bedroom apartment in a great location of Washington Heights. This apartment is just a block from everything you need! Also within walking distance to Columbia Presbyterian! This apartment won't last long on the market! Call now! Call/ Email Heidi to tour apartments in the area and anything you see here on Bohemia kagglemanager@renthop.com 189-560-4844 APARTMENT:* Dishwasher* Queen Size Sunny Bedroom* Spacious Living room* Hardwood Floors* Stainless Steel appliances * Subway (A/C &amp; 1 Trains)* Kind &amp; friendly Broker :)Located by W 173 &amp; Fort Washington Call today and I can show you everything Bohemia has to offer189-560-4844 kagglemanager@renthop.com,W. 173rd Street,[prewar dishwasher HIGHRISE ROOFDECK EAT IN KITCHEN SIMPLEX HARDWOOD],2dee0868ac01057760055b856e66e942,644 W. 173rd Street,low
100044,1,2,40.7488,6895442,-73.977,3000,4,67c9b420da4a365bc26a6cd0ef4a5320,***LOW FEE. Beautiful CHERRY OAK WOODEN FLOORSTHE LOBBY IS VERY NICE AND MODERN! GORGEOUS FLEX TWO BEDROOM APARTMENT LOCATED IN THE HEART OF MURRAY HILL. Near many great restaurants bars entertainment shopping and major transportation. THIS IS A STEAL AND WILL NOT LAST. Great Location 24 HR DOORMAN SPACIOUS ROOMS TONS OF SUNLIGHT IN HOUSE WASHER/DRYER FACILITYFOR FURTHER INFORMATION AND EXCLUSIVE VIEWING PLEASE CONTACT MEYER OVADIA AT 753-396-6626 OR VIA EMAIL AT kagglemanager@renthop.comNOT WHAT YOU ARE LOOKING FOR? FEEL FREE TO CONTACT ME WITH ANY SPECIAL REQUESTS. I'LL BE MORE THAN HAPPY TO FURTHER ASSIST YOU IN YOUR SEARCH<a website_redacted ,E 38th St,[Doorman Elevator Laundry in Building No Fee],537e06890f6a86dbb70c187db5be4d55,137 E 38th St,high
100048,2,2,40.7707,6846213,-73.9817,6895,4,0,Lincoln Square's premier full service buildings located a short distance from Central Park Lincoln Center Columbus Circle and Time Warner Center.A full service condominium offering:24 hour concierge24hr doormanResident managerLaundry on every floorOn-site parking garageState of the art health club Oasis Club boasting floor to ceiling windows and Central Park viewsSwimming pool with sun deckGymSaunaMassage roomFurnished roof deck with Cabanas and BBQ grillsLounge with bar and fireplaceBilliards roomPutting GreenChildrens play roomDogs must be 20 lbs MAX ,West 63rd Street,[Swimming Pool Doorman Fitness Center No Fee Dogs Allowed Cats Allowed],3813434aabfbad659a45f86a740cd23f,30 West 63rd Street,low
10005,1,1,40.7584,7089402,-73.9648,3050,6,0,Spacious 1-Bedroom to fit King-sized bed comfortably.Pristine Marble Tiled Bathroom!NEW Black Tiled GRANITE Stainless Steel Kitchen!LARGE Living Area foe entertaining/relaxing!A Must See!Great location. Walking distance to major transportation centers. Hop on your bike and ride the Queensboro bridge or walk to the park and relax after a long day at work. Hop on over to the Roosevelt Island tram and take it across the East River.For any questions please call Zaim at (283-814-3404.<a website_redacted ,East 56th St..,[Elevator Multi-Level Laundry in Building Dishwasher Hardwood Floors],75f38d077366d7964c2f3bb80c3e7b1d,315 East 56th St..,low
100051,1,0,40.7439,6889043,-73.9743,2350,4,bfb9405149bfff42a92980b594c28234,Stunning full renovated studio unit. High ceilings and sleek oak strip floors enhance the spacious layout. Clean lines and stainless steel appliances complete the modern open kitchen. Generous studio features lots of closets and sound reducing and energy efficient windows. 24 hour doorman with fitness center rooftop deck and convenient valet services.PLEASE CALL OR TEXT ISAAC 574-766-3744 OR EMAIL kagglemanager@renthop.com<a website_redacted ,East 34th Street,[Doorman Elevator Fitness Center Laundry in Building No Fee],dbbb6b990661b1e507a387f019bcb1a0,340 East 34th Street,medium
100052,1,2,40.7305,6913348,-73.983,3650,4,642cc2c920512ffe2a74c28122f8b47f,East Village is a great community with great people and offers a good of resources. These include great bars restaurants prime shops nice parks to job or just hang out.This spacious 2 bedroom come with the following amenities...*Hardwood Floors*High Ceilings*Great Lighting*Marble Bathroom*Granite Kitchen<a website_redacted ,1st Ave.,[Hardwood Floors],0411b25b134141100d8214ed6ec02f56,214 1st Ave.,low
100053,1,1,40.8643,6894111,-73.928,1695,4,0,*Location: Thayer St. &amp; Broadway Manhattan*This phenomenally priced large 1 bedroom apartment is such an amazing find. Great Size and Awesome Neighborhood. You simply have to see it! Contact me to for a viewing: kagglemanager@renthop.com OR 391-174-0575*The Apartment:-Spacious and sunny kitchen-Extra dining area-Huge separate living room w/ bright windows-King sized bedroom w/ closet-Coat closet in entryway-Beautiful Hardwood Floors-Full-sized Bathtub-Lovely building lobby w/ elevator*The Neighborhood:-1 Block from the A train-3 Blocks to the 1 Train-Starbucks Tryon Public House The Park View Mamasushi and tons of other great restaurants bars and coffee shops in the neighborhood.-Close proximity to groceries laundry banks gyms and other conveniences-1 Block from beautiful Fort Tryon Park and The Clositers-Inwood Farmer's Market and Hudson River jogging/ bike path minutes away*Contact me to get in on this amazing deal!Marie Maucort kagglemanager@renthop.com to see MORE???I can show you any apartment on our website: www.bohemiarealtygroup.comLiving in Upper Manhattan has never been more exciting... LET'S GET STARTED!**Applicants should have GOOD credit and an annual income of at least 40x the monthly rent**,Thayer St,[prewar LOWRISE EAT IN KITCHEN SIMPLEX HARDWOOD],ab15d581a04ed87b6f25d5aff8ddde30,98 Thayer St,low
100055,1,4,40.7999,6900220,-73.9638,5000,4,cc4c6ae9225df6d2395c4e16c235f7ab, ,West 106th Street,[No Fee Cats Allowed Dogs Allowed],8f5a9c893f6d602f4953fcc0b8e6e9b4,127 West 106th Street,low
100058,1,1,40.7328,6848536,-73.9799,3973,4,dc3cae15729b48fec3394f9295671991, ,1st Avenue,[Cats Allowed Dogs Allowed],8f5a9c893f6d602f4953fcc0b8e6e9b4,272 1st Avenue,low
